MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2021-01-29 16:20:00,6,4.18,0,ProRat2,Poke,Left,1,0,0,,0,ProRat2
2021-01-29 16:20:00,6,4.18,0,ProRat2,Pellet,Left,1,0,1,2.39,0,ProRat2
2021-01-29 16:21:00,6,4.18,0,ProRat2,Poke,Left,1,1,1,,0,ProRat2
2021-01-29 16:28:00,6,4.18,0,ProRat2,Poke,Left,2,1,1,,0,ProRat2
2021-01-29 16:28:00,6,4.18,0,ProRat2,Pellet,Left,2,1,2,0.06,0,ProRat2
2021-01-29 16:29:00,6,4.18,0,ProRat2,Poke,Left,3,1,2,,0,ProRat2
2021-01-29 16:29:00,6,4.18,0,ProRat2,Poke,Left,4,1,2,,0,ProRat2
2021-01-29 16:29:00,6,4.18,0,ProRat2,Pellet,Left,4,1,3,0.18,0,ProRat2
2021-01-29 16:30:00,6,4.18,0,ProRat2,Poke,Left,5,1,3,,0,ProRat2
2021-01-29 16:31:00,6,4.18,0,ProRat2,Poke,Left,6,1,3,,0,ProRat2
2021-01-29 16:31:00,6,4.18,0,ProRat2,Pellet,Left,6,1,4,0.12,0,ProRat2
2021-01-29 16:38:00,6,4.18,0,ProRat2,Poke,Left,7,1,4,,0,ProRat2
2021-01-29 16:38:00,6,4.18,0,ProRat2,Poke,Left,8,1,4,,0,ProRat2
2021-01-29 16:43:00,6,4.18,0,ProRat2,Poke,Left,9,1,4,,0,ProRat2
2021-01-29 16:43:00,6,4.18,0,ProRat2,Pellet,Left,9,1,5,8.28,0,ProRat2
2021-01-29 16:45:00,6,4.18,0,ProRat2,Poke,Left,10,1,5,,0,ProRat2
2021-01-29 16:53:00,6,4.18,0,ProRat2,Poke,Left,11,1,5,,0,ProRat2
2021-01-29 16:53:00,6,4.18,0,ProRat2,Poke,Left,12,1,5,,0,ProRat2
2021-01-29 16:53:00,6,4.18,0,ProRat2,Poke,Left,13,1,5,,0,ProRat2
2021-01-29 16:53:00,6,4.18,0,ProRat2,Pellet,Left,13,1,6,0.18,0,ProRat2
2021-01-29 16:53:00,6,4.18,0,ProRat2,Poke,Left,14,1,6,,0,ProRat2
2021-01-29 16:53:00,6,4.18,0,ProRat2,Poke,Left,15,1,6,,0,ProRat2
2021-01-29 16:53:00,6,4.18,0,ProRat2,Poke,Left,16,1,6,,0,ProRat2
2021-01-29 17:02:00,6,4.18,0,ProRat2,Poke,Left,17,1,6,,0,ProRat2
2021-01-29 17:02:00,6,4.18,0,ProRat2,Poke,Left,18,1,6,,0,ProRat2
2021-01-29 17:02:00,6,4.18,0,ProRat2,Pellet,Left,18,1,7,0.12,0,ProRat2
2021-01-29 17:03:00,6,4.18,0,ProRat2,Poke,Left,19,1,7,,0,ProRat2
2021-01-29 17:12:00,6,4.18,0,ProRat2,Poke,Left,20,1,7,,0,ProRat2
2021-01-29 17:14:00,6,4.18,0,ProRat2,Poke,Left,21,1,7,,0,ProRat2
2021-01-29 17:15:00,6,4.18,0,ProRat2,Poke,Left,22,1,7,,0,ProRat2
2021-01-29 17:15:00,6,4.18,0,ProRat2,Poke,Left,23,1,7,,0,ProRat2
2021-01-29 17:15:00,6,4.18,0,ProRat2,Poke,Left,24,1,7,,0,ProRat2
2021-01-29 17:15:00,6,4.18,0,ProRat2,Pellet,Left,24,1,8,0.12,0,ProRat2
2021-01-29 17:17:00,6,4.18,0,ProRat2,Poke,Left,24,2,8,,0,ProRat2
2021-01-29 17:17:00,6,4.18,0,ProRat2,Poke,Left,25,2,8,,0,ProRat2
2021-01-29 17:19:00,6,4.18,0,ProRat2,Poke,Left,26,2,8,,0,ProRat2
