MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
1/29/2021 16:08,1,4.23,0,PR,Poke,Left,1,0,0,,0,ProRat2
1/29/2021 16:08,1,4.23,0,PR,Pellet,Left,1,0,1,0.24,0,ProRat2
1/29/2021 16:09,1,4.23,0,PR,Poke,Left,2,0,1,,0,ProRat2
1/29/2021 16:09,1,4.23,0,PR,Pellet,Left,2,0,2,0.61,0,ProRat2
1/29/2021 16:11,1,4.23,0,PR,Poke,Left,3,0,2,,0,ProRat2
1/29/2021 16:11,1,4.23,0,PR,Poke,Left,4,0,2,,0,ProRat2
1/29/2021 16:11,1,4.23,0,PR,Pellet,Left,4,0,3,0.55,0,ProRat2
1/29/2021 16:13,1,4.23,0,PR,Poke,Left,5,0,3,,0,ProRat2
1/29/2021 16:13,1,4.23,0,PR,Poke,Left,6,0,3,,0,ProRat2
1/29/2021 16:13,1,4.23,0,PR,Pellet,Left,6,0,4,0.31,0,ProRat2
1/29/2021 16:14,1,4.23,0,PR,Poke,Left,6,1,4,,0,ProRat2
1/29/2021 16:14,1,4.23,0,PR,Poke,Left,6,2,4,,0,ProRat2
1/29/2021 16:14,1,4.23,0,PR,Poke,Left,7,2,4,,0,ProRat2
1/29/2021 16:14,1,4.23,0,PR,Poke,Left,8,2,4,,0,ProRat2
1/29/2021 16:14,1,4.23,0,PR,Poke,Left,9,2,4,,0,ProRat2
1/29/2021 16:14,1,4.23,0,PR,Pellet,Left,9,2,5,0.61,0,ProRat2
1/29/2021 16:27,1,4.23,0,PR,Poke,Left,9,3,5,,0,ProRat2
1/29/2021 16:27,1,4.23,0,PR,Poke,Left,10,3,5,,0,ProRat2
1/29/2021 16:27,1,4.23,0,PR,Poke,Left,10,4,5,,0,ProRat2
1/29/2021 16:33,1,4.23,0,PR,Poke,Left,11,4,5,,0,ProRat2
1/29/2021 16:41,1,4.23,0,PR,Poke,Left,11,5,5,,0,ProRat2
1/29/2021 16:41,1,4.23,0,PR,Poke,Left,12,5,5,,0,ProRat2
1/29/2021 16:41,1,4.23,0,PR,Poke,Left,13,5,5,,0,ProRat2
1/29/2021 16:41,1,4.23,0,PR,Pellet,Left,13,5,6,0.25,0,ProRat2
1/29/2021 16:45,1,4.23,0,PR,Poke,Left,13,6,6,,0,ProRat2
1/29/2021 16:46,1,4.23,0,PR,Poke,Left,14,6,6,,0,ProRat2
1/29/2021 16:46,1,4.23,0,PR,Poke,Left,15,6,6,,0,ProRat2
1/29/2021 16:50,1,4.23,0,PR,Poke,Left,16,6,6,,0,ProRat2
1/29/2021 16:52,1,4.23,0,PR,Poke,Left,17,6,6,,0,ProRat2
1/29/2021 16:54,1,4.23,0,PR,Poke,Left,18,6,6,,0,ProRat2
1/29/2021 16:54,1,4.23,0,PR,Pellet,Left,18,6,7,0.49,0,ProRat2
1/29/2021 16:56,1,4.23,0,PR,Poke,Left,19,6,7,,0,ProRat2
1/29/2021 16:56,1,4.23,0,PR,Poke,Left,20,6,7,,0,ProRat2
1/29/2021 16:56,1,4.23,0,PR,Poke,Left,21,6,7,,0,ProRat2
1/29/2021 16:56,1,4.23,0,PR,Poke,Left,22,6,7,,0,ProRat2
1/29/2021 16:56,1,4.23,0,PR,Poke,Left,23,6,7,,0,ProRat2
1/29/2021 16:56,1,4.23,0,PR,Poke,Left,24,6,7,,0,ProRat2
1/29/2021 16:56,1,4.23,0,PR,Pellet,Left,24,6,8,0.18,0,ProRat2
1/29/2021 16:57,1,4.23,0,PR,Poke,Left,25,6,8,,0,ProRat2
1/29/2021 16:57,1,4.23,0,PR,Poke,Left,26,6,8,,0,ProRat2
