MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2021-01-29 15:59:31,3,4.23,0,ProRat2,Poke,Left,1,0,0,,0,ProRat2
2021-01-29 15:59:38,3,4.23,0,ProRat2,Pellet,Left,1,0,1,0.31,0,ProRat2
2021-01-29 15:59:53,3,4.23,0,ProRat2,Poke,Left,2,0,1,,0,ProRat2
2021-01-29 15:59:55,3,4.23,0,ProRat2,Pellet,Left,2,0,2,0.06,0,ProRat2
2021-01-29 16:02:50,3,4.23,0,ProRat2,Poke,Left,3,0,2,,0,ProRat2
2021-01-29 16:04:44,3,4.23,0,ProRat2,Poke,Left,4,0,2,,0,ProRat2
2021-01-29 16:04:48,3,4.23,0,ProRat2,Pellet,Left,4,0,3,0.06,0,ProRat2
2021-01-29 16:05:10,3,4.23,0,ProRat2,Poke,Left,5,0,3,,0,ProRat2
2021-01-29 16:05:12,3,4.23,0,ProRat2,Poke,Left,6,0,3,,0,ProRat2
2021-01-29 16:05:13,3,4.23,0,ProRat2,Pellet,Left,6,0,4,0.06,0,ProRat2
2021-01-29 16:07:52,3,4.23,0,ProRat2,Poke,Left,7,0,4,,0,ProRat2
2021-01-29 16:13:50,3,4.23,0,ProRat2,Poke,Left,8,0,4,,0,ProRat2
2021-01-29 16:14:06,3,4.23,0,ProRat2,Poke,Left,9,0,4,,0,ProRat2
2021-01-29 16:14:10,3,4.23,0,ProRat2,Pellet,Left,9,0,5,2.2,0,ProRat2
2021-01-29 16:18:34,3,4.23,0,ProRat2,Poke,Left,10,0,5,,0,ProRat2
2021-01-29 16:18:35,3,4.23,0,ProRat2,Poke,Left,11,0,5,,0,ProRat2
2021-01-29 16:20:18,3,4.23,0,ProRat2,Poke,Left,12,0,5,,0,ProRat2
2021-01-29 16:20:20,3,4.23,0,ProRat2,Poke,Left,13,0,5,,0,ProRat2
2021-01-29 16:20:34,3,4.23,0,ProRat2,Pellet,Left,13,0,6,10.63,0,ProRat2
2021-01-29 16:20:50,3,4.23,0,ProRat2,Poke,Left,14,0,6,,0,ProRat2
2021-01-29 16:21:07,3,4.23,0,ProRat2,Poke,Left,14,1,6,,0,ProRat2
2021-01-29 16:21:12,3,4.23,0,ProRat2,Poke,Left,15,1,6,,0,ProRat2
2021-01-29 16:21:14,3,4.23,0,ProRat2,Poke,Left,16,1,6,,0,ProRat2
2021-01-29 16:21:15,3,4.23,0,ProRat2,Poke,Left,17,1,6,,0,ProRat2
2021-01-29 16:21:16,3,4.23,0,ProRat2,Poke,Left,18,1,6,,0,ProRat2
2021-01-29 16:21:17,3,4.23,0,ProRat2,Pellet,Left,18,1,7,0.06,0,ProRat2
2021-01-29 16:22:37,3,4.23,0,ProRat2,Poke,Left,19,1,7,,0,ProRat2
2021-01-29 16:26:00,3,4.23,0,ProRat2,Poke,Left,19,2,7,,0,ProRat2
2021-01-29 16:27:58,3,4.23,0,ProRat2,Poke,Left,20,2,7,,0,ProRat2
2021-01-29 16:30:22,3,4.23,0,ProRat2,Poke,Left,20,3,7,,0,ProRat2
2021-01-29 16:30:34,3,4.23,0,ProRat2,Poke,Left,21,3,7,,0,ProRat2
2021-01-29 16:30:37,3,4.23,0,ProRat2,Poke,Left,22,3,7,,0,ProRat2
2021-01-29 16:30:39,3,4.23,0,ProRat2,Poke,Left,23,3,7,,0,ProRat2
2021-01-29 16:30:41,3,4.23,0,ProRat2,Poke,Left,24,3,7,,0,ProRat2
2021-01-29 16:30:45,3,4.23,0,ProRat2,Pellet,Left,24,3,8,0.06,0,ProRat2
2021-01-29 16:31:42,3,4.23,0,ProRat2,Poke,Left,25,3,8,,0,ProRat2
2021-01-29 16:31:44,3,4.23,0,ProRat2,Poke,Left,26,3,8,,0,ProRat2
2021-01-29 16:31:49,3,4.23,0,ProRat2,Poke,Left,26,4,8,,0,ProRat2
2021-01-29 16:37:20,3,4.23,0,ProRat2,Poke,Left,27,4,8,,0,ProRat2
2021-01-29 16:37:22,3,4.23,0,ProRat2,Poke,Left,28,4,8,,0,ProRat2
2021-01-29 16:44:33,3,4.23,0,ProRat2,Poke,Left,28,5,8,,0,ProRat2
2021-01-29 16:45:39,3,4.23,0,ProRat2,Poke,Left,29,5,8,,0,ProRat2
2021-01-29 16:46:54,3,4.23,0,ProRat2,Poke,Left,30,5,8,,0,ProRat2
2021-01-29 16:48:44,3,4.23,0,ProRat2,Poke,Left,31,5,8,,0,ProRat2
2021-01-29 16:48:46,3,4.23,0,ProRat2,Pellet,Left,31,5,9,0.06,0,ProRat2
2021-01-29 16:49:10,3,4.23,0,ProRat2,Poke,Left,32,5,9,,0,ProRat2
2021-01-29 16:49:12,3,4.23,0,ProRat2,Poke,Left,33,5,9,,0,ProRat2
2021-01-29 16:49:31,3,4.23,0,ProRat2,Poke,Left,34,5,9,,0,ProRat2
2021-01-29 16:49:34,3,4.23,0,ProRat2,Poke,Left,35,5,9,,0,ProRat2
2021-01-29 16:49:37,3,4.23,0,ProRat2,Poke,Left,36,5,9,,0,ProRat2
2021-01-29 16:49:42,3,4.23,0,ProRat2,Poke,Left,37,5,9,,0,ProRat2
2021-01-29 16:49:51,3,4.23,0,ProRat2,Poke,Left,38,5,9,,0,ProRat2
2021-01-29 16:49:52,3,4.23,0,ProRat2,Poke,Left,39,5,9,,0,ProRat2
2021-01-29 16:49:53,3,4.23,0,ProRat2,Poke,Left,40,5,9,,0,ProRat2
2021-01-29 16:49:55,3,4.23,0,ProRat2,Pellet,Left,40,5,10,0.06,0,ProRat2
2021-01-29 16:58:20,3,4.23,0,ProRat2,Poke,Left,41,5,10,,0,ProRat2
2021-01-29 16:58:24,3,4.23,0,ProRat2,Poke,Left,41,6,10,,0,ProRat2
2021-01-29 16:58:45,3,4.23,0,ProRat2,Poke,Left,42,6,10,,0,ProRat2
2021-01-29 16:59:06,3,4.23,0,ProRat2,Poke,Left,43,6,10,,0,ProRat2
2021-01-29 17:01:44,3,4.23,0,ProRat2,Poke,Left,44,6,10,,0,ProRat2
2021-01-29 17:01:46,3,4.23,0,ProRat2,Poke,Left,45,6,10,,0,ProRat2
