MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2021-01-29 16:10:55,7,4.19,0,ProRat2,Poke,Left,0,1,0,,0,ProRat2
2021-01-29 16:10:56,7,4.19,0,ProRat2,Poke,Left,0,2,0,,0,ProRat2
2021-01-29 16:27:34,7,4.19,0,ProRat2,Poke,Left,1,2,0,,0,ProRat2
2021-01-29 16:27:38,7,4.19,0,ProRat2,Pellet,Left,1,2,1,0.37,0,ProRat2
2021-01-29 16:29:57,7,4.19,0,ProRat2,Poke,Left,1,3,1,,0,ProRat2
2021-01-29 16:30:00,7,4.19,0,ProRat2,Poke,Left,2,3,1,,0,ProRat2
2021-01-29 16:30:02,7,4.19,0,ProRat2,Pellet,Left,2,3,2,0.31,0,ProRat2
2021-01-29 16:33:16,7,4.19,0,ProRat2,Poke,Left,3,3,2,,0,ProRat2
2021-01-29 16:33:52,7,4.19,0,ProRat2,Poke,Left,4,3,2,,0,ProRat2
2021-01-29 16:33:54,7,4.19,0,ProRat2,Pellet,Left,4,3,3,0.49,0,ProRat2
2021-01-29 16:39:50,7,4.19,0,ProRat2,Poke,Left,5,3,3,,0,ProRat2
2021-01-29 16:39:51,7,4.19,0,ProRat2,Poke,Left,6,3,3,,0,ProRat2
2021-01-29 16:39:53,7,4.19,0,ProRat2,Pellet,Left,6,3,4,0.37,0,ProRat2
2021-01-29 16:40:20,7,4.19,0,ProRat2,Poke,Left,7,3,4,,0,ProRat2
2021-01-29 16:41:37,7,4.19,0,ProRat2,Poke,Left,8,3,4,,0,ProRat2
2021-01-29 16:41:38,7,4.19,0,ProRat2,Poke,Left,9,3,4,,0,ProRat2
2021-01-29 16:41:40,7,4.19,0,ProRat2,Pellet,Left,9,3,5,0.37,0,ProRat2
2021-01-29 16:42:34,7,4.19,0,ProRat2,Poke,Left,10,3,5,,0,ProRat2
2021-01-29 16:48:05,7,4.19,0,ProRat2,Poke,Left,10,4,5,,0,ProRat2
2021-01-29 16:51:25,7,4.19,0,ProRat2,Poke,Left,11,4,5,,0,ProRat2
2021-01-29 16:51:26,7,4.19,0,ProRat2,Poke,Left,12,4,5,,0,ProRat2
2021-01-29 16:51:29,7,4.19,0,ProRat2,Poke,Left,13,4,5,,0,ProRat2
2021-01-29 16:51:31,7,4.19,0,ProRat2,Pellet,Left,13,4,6,0.49,0,ProRat2
2021-01-29 16:52:47,7,4.19,0,ProRat2,Poke,Left,14,4,6,,0,ProRat2
2021-01-29 16:59:44,7,4.19,0,ProRat2,Poke,Left,15,4,6,,0,ProRat2
2021-01-29 16:59:45,7,4.19,0,ProRat2,Poke,Left,16,4,6,,0,ProRat2
2021-01-29 16:59:46,7,4.19,0,ProRat2,Poke,Left,17,4,6,,0,ProRat2
2021-01-29 16:59:51,7,4.19,0,ProRat2,Poke,Left,18,4,6,,0,ProRat2
2021-01-29 16:59:53,7,4.19,0,ProRat2,Pellet,Left,18,4,7,0.24,0,ProRat2
