MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2021-01-29 16:09:47,5,4.14,0,ProRat2,Poke,Left,1,0,0,,0,ProRat2
2021-01-29 16:18:28,5,4.14,0,ProRat2,Pellet,Left,1,0,1,0.0,0,ProRat2
2021-01-29 16:20:29,5,4.14,0,ProRat2,Poke,Left,2,0,1,,0,ProRat2
2021-01-29 16:20:40,5,4.14,0,ProRat2,Pellet,Left,2,0,2,5.95,0,ProRat2
2021-01-29 16:21:05,5,4.14,0,ProRat2,Poke,Left,3,0,2,,0,ProRat2
2021-01-29 16:21:28,5,4.14,0,ProRat2,Poke,Left,3,1,2,,0,ProRat2
2021-01-29 16:22:23,5,4.14,0,ProRat2,Poke,Left,4,1,2,,0,ProRat2
2021-01-29 16:22:30,5,4.14,0,ProRat2,Pellet,Left,4,1,3,0.55,0,ProRat2
2021-01-29 16:24:04,5,4.14,0,ProRat2,Poke,Left,5,1,3,,0,ProRat2
2021-01-29 16:24:44,5,4.14,0,ProRat2,Poke,Left,6,1,3,,0,ProRat2
2021-01-29 16:24:46,5,4.14,0,ProRat2,Pellet,Left,6,1,4,0.12,0,ProRat2
2021-01-29 16:25:56,5,4.14,0,ProRat2,Poke,Left,7,1,4,,0,ProRat2
2021-01-29 16:28:12,5,4.14,0,ProRat2,Poke,Left,8,1,4,,0,ProRat2
2021-01-29 16:28:14,5,4.14,0,ProRat2,Poke,Left,9,1,4,,0,ProRat2
2021-01-29 16:28:15,5,4.14,0,ProRat2,Pellet,Left,9,1,5,0.12,0,ProRat2
2021-01-29 16:28:55,5,4.14,0,ProRat2,Poke,Left,10,1,5,,0,ProRat2
2021-01-29 16:29:01,5,4.14,0,ProRat2,Poke,Left,10,2,5,,0,ProRat2
2021-01-29 16:29:13,5,4.14,0,ProRat2,Poke,Left,11,2,5,,0,ProRat2
2021-01-29 16:32:40,5,4.14,0,ProRat2,Poke,Left,12,2,5,,0,ProRat2
2021-01-29 16:46:49,5,4.14,0,ProRat2,Poke,Left,13,2,5,,0,ProRat2
2021-01-29 16:46:51,5,4.14,0,ProRat2,Pellet,Left,13,2,6,0.12,0,ProRat2
2021-01-29 16:47:57,5,4.14,0,ProRat2,Poke,Left,14,2,6,,0,ProRat2
2021-01-29 16:47:58,5,4.14,0,ProRat2,Poke,Left,15,2,6,,0,ProRat2
2021-01-29 16:48:00,5,4.14,0,ProRat2,Poke,Left,16,2,6,,0,ProRat2
2021-01-29 16:53:50,5,4.14,0,ProRat2,Poke,Left,17,2,6,,0,ProRat2
2021-01-29 16:53:52,5,4.14,0,ProRat2,Poke,Left,18,2,6,,0,ProRat2
2021-01-29 16:53:54,5,4.14,0,ProRat2,Pellet,Left,18,2,7,0.06,0,ProRat2
2021-01-29 16:55:49,5,4.14,0,ProRat2,Poke,Left,19,2,7,,0,ProRat2
2021-01-29 16:55:53,5,4.14,0,ProRat2,Poke,Left,20,2,7,,0,ProRat2
2021-01-29 16:55:59,5,4.14,0,ProRat2,Poke,Left,21,2,7,,0,ProRat2
2021-01-29 16:57:59,5,4.14,0,ProRat2,Poke,Left,21,3,7,,0,ProRat2
2021-01-29 16:58:03,5,4.14,0,ProRat2,Poke,Left,21,4,7,,0,ProRat2
