MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2021-01-29 16:01:01,2,4.2,0,ProRat2,Poke,Left,1,0,0,,0,ProRat2
2021-01-29 16:01:15,2,4.2,0,ProRat2,Pellet,Left,1,0,1,6.56,0,ProRat2
2021-01-29 16:01:52,2,4.2,0,ProRat2,Poke,Left,2,0,1,,0,ProRat2
2021-01-29 16:01:55,2,4.2,0,ProRat2,Pellet,Left,2,0,2,1.53,0,ProRat2
2021-01-29 16:07:32,2,4.2,0,ProRat2,Poke,Left,2,1,2,,0,ProRat2
2021-01-29 16:14:20,2,4.2,0,ProRat2,Poke,Left,2,2,2,,0,ProRat2
2021-01-29 16:14:56,2,4.2,0,ProRat2,Poke,Left,2,3,2,,0,ProRat2
2021-01-29 16:15:18,2,4.2,0,ProRat2,Poke,Left,3,3,2,,0,ProRat2
2021-01-29 16:18:29,2,4.2,0,ProRat2,Poke,Left,3,4,2,,0,ProRat2
2021-01-29 16:18:35,2,4.2,0,ProRat2,Poke,Left,4,4,2,,0,ProRat2
2021-01-29 16:18:38,2,4.2,0,ProRat2,Pellet,Left,4,4,3,0.06,0,ProRat2
2021-01-29 16:21:26,2,4.2,0,ProRat2,Poke,Left,4,5,3,,0,ProRat2
2021-01-29 16:22:04,2,4.2,0,ProRat2,Poke,Left,5,5,3,,0,ProRat2
2021-01-29 16:23:06,2,4.2,0,ProRat2,Poke,Left,6,5,3,,0,ProRat2
2021-01-29 16:23:08,2,4.2,0,ProRat2,Pellet,Left,6,5,4,0.31,0,ProRat2
2021-01-29 16:23:45,2,4.2,0,ProRat2,Poke,Left,7,5,4,,0,ProRat2
2021-01-29 16:24:18,2,4.2,0,ProRat2,Poke,Left,8,5,4,,0,ProRat2
2021-01-29 16:28:44,2,4.2,0,ProRat2,Poke,Left,9,5,4,,0,ProRat2
2021-01-29 16:28:49,2,4.2,0,ProRat2,Pellet,Left,9,5,5,0.73,0,ProRat2
2021-01-29 16:32:45,2,4.2,0,ProRat2,Poke,Left,10,5,5,,0,ProRat2
2021-01-29 16:38:48,2,4.2,0,ProRat2,Poke,Left,11,5,5,,0,ProRat2
2021-01-29 16:41:52,2,4.2,0,ProRat2,Poke,Left,11,6,5,,0,ProRat2
2021-01-29 16:43:28,2,4.2,0,ProRat2,Poke,Left,11,7,5,,0,ProRat2
2021-01-29 16:43:31,2,4.2,0,ProRat2,Poke,Left,11,8,5,,0,ProRat2
2021-01-29 16:43:33,2,4.2,0,ProRat2,Poke,Left,11,9,5,,0,ProRat2
2021-01-29 16:43:38,2,4.2,0,ProRat2,Poke,Left,12,9,5,,0,ProRat2
2021-01-29 16:43:40,2,4.2,0,ProRat2,Poke,Left,13,9,5,,0,ProRat2
2021-01-29 16:43:41,2,4.2,0,ProRat2,Pellet,Left,13,9,6,0.12,0,ProRat2
2021-01-29 16:45:35,2,4.2,0,ProRat2,Poke,Left,14,9,6,,0,ProRat2
2021-01-29 16:45:36,2,4.2,0,ProRat2,Poke,Left,15,9,6,,0,ProRat2
2021-01-29 16:45:39,2,4.2,0,ProRat2,Poke,Left,16,9,6,,0,ProRat2
2021-01-29 16:45:43,2,4.2,0,ProRat2,Poke,Left,17,9,6,,0,ProRat2
2021-01-29 16:45:46,2,4.2,0,ProRat2,Poke,Left,18,9,6,,0,ProRat2
2021-01-29 16:45:48,2,4.2,0,ProRat2,Pellet,Left,18,9,7,0.43,0,ProRat2
2021-01-29 16:46:49,2,4.2,0,ProRat2,Poke,Left,19,9,7,,0,ProRat2
2021-01-29 16:46:50,2,4.2,0,ProRat2,Poke,Left,20,9,7,,0,ProRat2
2021-01-29 16:46:51,2,4.2,0,ProRat2,Poke,Left,21,9,7,,0,ProRat2
2021-01-29 16:46:52,2,4.2,0,ProRat2,Poke,Left,22,9,7,,0,ProRat2
2021-01-29 16:46:53,2,4.2,0,ProRat2,Poke,Left,23,9,7,,0,ProRat2
2021-01-29 16:46:54,2,4.2,0,ProRat2,Poke,Left,24,9,7,,0,ProRat2
2021-01-29 16:46:56,2,4.2,0,ProRat2,Pellet,Left,24,9,8,0.55,0,ProRat2
2021-01-29 16:47:24,2,4.2,0,ProRat2,Poke,Left,25,9,8,,0,ProRat2
2021-01-29 16:47:30,2,4.2,0,ProRat2,Poke,Left,26,9,8,,0,ProRat2
2021-01-29 16:47:32,2,4.2,0,ProRat2,Poke,Left,27,9,8,,0,ProRat2
2021-01-29 16:47:33,2,4.2,0,ProRat2,Poke,Left,28,9,8,,0,ProRat2
2021-01-29 16:47:59,2,4.2,0,ProRat2,Poke,Left,28,10,8,,0,ProRat2
2021-01-29 16:48:09,2,4.2,0,ProRat2,Poke,Left,29,10,8,,0,ProRat2
2021-01-29 16:49:27,2,4.2,0,ProRat2,Poke,Left,30,10,8,,0,ProRat2
2021-01-29 16:50:02,2,4.2,0,ProRat2,Poke,Left,31,10,8,,0,ProRat2
